ErrorCode;ErrorMessage;ErrorType;HTTPStatusCode;APIname;BSLProcess
ESB.NSDB.000001;System Exception occurred calling SDB-GetUser;System;500;GetUser;
ESB.NSDB.000002;Error occurred during TransformXML activity-RemoveNamespacesPrefix in ChangeProfile subprocess;System;;ChangeProfile;
ESB.NSDB.000003;Error occurred parsing GetUser Response;Business;;GetUser;
ESB.NSDB.000004;System Exception occurred calling SDB-ChangeProfile;System;500;ChangeProfile;
ESB.NSDB.000005;Error occurred during TransformXML activity-RemoveNamespacesPrefix in ChangeProfile subprocess;System;;ChangeProfile;
ESB.NSDB.000006;Error occurred parsing ChangeProfile Response;Business;;ChangeProfile;


ESB.NSDB.000007;System Exception occurred calling SDB-ChangeStatus;System;500;ChangeStatus;
ESB.NSDB.000008;Error occurred during TransformXML activity-RemoveNamespacesPrefix in ChangeStatus subprocess;System;;ChangeStatus;
ESB.NSDB.000009;Error occurred parsing ChangeStatus Response;Business;;ChangeStatus;
